id,scrape_date,category,building_name,address,nearest_station1,nearest_station2,nearest_station3,building_age,total_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,page_number
1,2025-01-18 20:35:28,賃貸アパート,コート・ノース本庄Ｂ,埼玉県本庄市寿３,ＪＲ高崎線/本庄駅 歩24分,,,築11年,3階建,2階,4.85万円,1700円,-,4.85万円,1LDK,41.3m2,https://suumo.jp/chintai/jnc_000095747978/?bc=100417536669,1
2,2025-01-18 20:35:28,賃貸アパート,ＪＲ高崎線 本庄駅 3階建 築11年,埼玉県本庄市寿３,ＪＲ高崎線/本庄駅 歩24分,,,築11年,3階建,2階,4.85万円,1700円,-,4.85万円,1LDK,41.3m2,https://suumo.jp/chintai/jnc_000095756609/?bc=100417468564,1
3,2025-01-18 20:35:28,賃貸アパート,パラッツィオ　ボスコ,埼玉県本庄市東富田,上越新幹線/本庄早稲田駅 歩9分,,,築19年,2階建,1階,5.8万円,3000円,-,-,2LDK,57.96m2,https://suumo.jp/chintai/jnc_000065415677/?bc=100417743617,1
4,2025-01-18 20:35:28,賃貸アパート,パラッツィオ　ボスコ,埼玉県本庄市東富田,上越新幹線/本庄早稲田駅 歩9分,,,築19年,2階建,1階,5.9万円,3000円,-,-,2LDK,57.96m2,https://suumo.jp/chintai/jnc_000088941671/?bc=100377135037,1
5,2025-01-18 20:35:28,賃貸アパート,上越新幹線 本庄早稲田駅 2階建 築19年,埼玉県本庄市東富田,上越新幹線/本庄早稲田駅 歩9分,,,築19年,2階建,1階,5.8万円,3000円,-,-,2LDK,57.96m2,https://suumo.jp/chintai/jnc_000095804350/?bc=100417743005,1
6,2025-01-18 20:35:28,賃貸アパート,上越新幹線 本庄早稲田駅 2階建 築19年,埼玉県本庄市東富田,上越新幹線/本庄早稲田駅 歩9分,,,築19年,2階建,1階,5.9万円,3000円,-,-,2LDK,57.96m2,https://suumo.jp/chintai/jnc_000090218369/?bc=100404927214,1
7,2025-01-18 20:35:28,賃貸アパート,グランツ　Ｋ,埼玉県本庄市小島南１,ＪＲ高崎線/本庄駅 歩26分,,,築7年,2階建,1階,4.9万円,2200円,-,4.9万円,1K,35m2,https://suumo.jp/chintai/jnc_000095781538/?bc=100384642128,1
8,2025-01-18 20:35:28,賃貸アパート,ポルト・ボヌール,埼玉県本庄市東五十子,ＪＲ高崎線/本庄駅 歩35分,上越新幹線/本庄早稲田駅 歩44分,,築9年,2階建,1-2階,5.9万円,4000円,-,-,2LDK,57.44m2,https://suumo.jp/chintai/jnc_000095813435/?bc=100417791927,1
9,2025-01-18 20:35:28,賃貸アパート,グローバル,埼玉県本庄市西富田,湘南新宿ライン高海/本庄駅 歩28分,ＪＲ高崎線/神保原駅 歩43分,南循環西コース/南小学校 歩6分,築14年,2階建,1-2階,6.2万円,4000円,-,-,2LDK,57.8m2,https://suumo.jp/chintai/jnc_000095813434/?bc=100417791928,1
10,2025-01-18 20:35:28,賃貸アパート,ブライトレジデンス,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,,,築17年,2階建,1階,4.2万円,1700円,-,4.2万円,ワンルーム,32.9m2,https://suumo.jp/chintai/jnc_000095637950/?bc=100417474725,1
11,2025-01-18 20:35:28,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築18年,埼玉県本庄市日の出１,ＪＲ高崎線/本庄駅 歩18分,,,築18年,2階建,1-2階,5.2万円,4000円,-,-,2LDK,59.4m2,https://suumo.jp/chintai/jnc_000094158355/?bc=100386938896,1
12,2025-01-18 20:35:28,賃貸アパート,リバーサイド　エアリーI,埼玉県本庄市児玉町児玉,ＪＲ八高線/児玉駅 歩22分,ＪＲ八高線/松久駅 歩47分,上越新幹線/本庄早稲田駅 歩74分,築14年,2階建,1階,4.65万円,3300円,-,4.65万円,1LDK,43.86m2,https://suumo.jp/chintai/jnc_000095441635/?bc=100415728029,1
13,2025-01-18 20:35:28,賃貸マンション,ＪＲ高崎線 本庄駅 4階建 築8年,埼玉県本庄市若泉１,ＪＲ高崎線/本庄駅 歩16分,上越新幹線/本庄早稲田駅 歩55分,ＪＲ高崎線/熊谷駅 車43分(24.4km),築8年,4階建,1階,5万円,2000円,5万円,-,1LDK,40m2,https://suumo.jp/chintai/jnc_000093102813/?bc=100413838550,1
14,2025-01-18 20:35:28,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築27年,埼玉県本庄市若泉１,湘南新宿ライン高海/本庄駅 歩17分,,,築27年,2階建,1階,4.3万円,3000円,-,-,2LDK,44.09m2,https://suumo.jp/chintai/jnc_000093602060/?bc=100402697513,1
15,2025-01-18 20:35:28,賃貸アパート,パークアベニュー若泉,埼玉県本庄市若泉１,湘南新宿ライン高海/本庄駅 歩17分,,,築27年,2階建,1階,4.3万円,3000円,-,-,2LDK,44.09m2,https://suumo.jp/chintai/jnc_000093568925/?bc=100402553779,1
16,2025-01-18 20:35:28,賃貸マンション,ＪＲ高崎線 本庄駅 3階建 築26年,埼玉県本庄市朝日町１,ＪＲ高崎線/本庄駅 歩11分,,,築26年,3階建,2階,5.5万円,2000円,-,-,3LDK,65.5m2,https://suumo.jp/chintai/jnc_000095656245/?bc=100416953163,1
17,2025-01-18 20:35:28,賃貸アパート,ホワイトチェリ－,埼玉県本庄市緑１,ＪＲ高崎線/本庄駅 歩17分,,,築25年,2階建,2階,4.7万円,2200円,-,-,2DK,51.36m2,https://suumo.jp/chintai/jnc_000083109016/?bc=100416804211,1
18,2025-01-18 20:35:28,賃貸アパート,オリオン,埼玉県本庄市小島２,ＪＲ高崎線/本庄駅 歩34分,,,築16年,2階建,1階,4.8万円,2500円,4.8万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000033785138/?bc=100378836971,1
19,2025-01-18 20:35:28,賃貸アパート,オリオン,埼玉県本庄市小島２,ＪＲ高崎線/本庄駅 歩34分,,,築16年,2階建,1階,4.8万円,2500円,4.8万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000077955774/?bc=100417519412,1
20,2025-01-18 20:35:28,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築7年,埼玉県本庄市日の出４,ＪＲ高崎線/本庄駅 歩18分,上越新幹線/本庄早稲田駅 歩47分,ＪＲ高崎線/岡部駅 歩69分,築7年,2階建,2階,4.7万円,4000円,-,-,ワンルーム,27.4m2,https://suumo.jp/chintai/jnc_000095249790/?bc=100417565910,1
21,2025-01-18 20:35:28,賃貸アパート,レオパレスマンダリーヌIII,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩14分,,,築18年,2階建,1階,4.6万円,5000円,-,4.6万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093719333/?bc=100329099436,1
