id,scrape_date,category,building_name,address,nearest_station1,nearest_station2,nearest_station3,building_age,total_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,page_number
1,2025-01-18 19:58:00,賃貸アパート,アロー坪井 33番館,千葉県船橋市坪井東１,東葉高速鉄道/船橋日大前駅 歩3分,新京成線/北習志野駅 歩25分,東葉高速鉄道/八千代緑が丘駅 歩22分,築3年,3階建,2階,7.5万円,3000円,11.25万円,7.5万円,ワンルーム,25.12m2,https://suumo.jp/chintai/jnc_000095757063/?bc=100417559589,1
2,2025-01-18 19:58:00,賃貸マンション,ベルクレール拾伍番館,千葉県船橋市本町２,ＪＲ総武線/船橋駅 歩7分,京成本線/京成船橋駅 歩6分,ＪＲ京葉線/南船橋駅 歩29分,築24年,8階建,3階,5.5万円,5000円,-,-,ワンルーム,19.42m2,https://suumo.jp/chintai/jnc_000094562155/?bc=100408663524,1
3,2025-01-18 19:58:00,賃貸マンション,ベルクレール拾伍番館,千葉県船橋市本町２,ＪＲ総武線/船橋駅 歩7分,京成本線/京成船橋駅 歩6分,ＪＲ京葉線/南船橋駅 歩29分,築24年,8階建,4階,5.6万円,5000円,-,-,ワンルーム,19.88m2,https://suumo.jp/chintai/jnc_000094398874/?bc=100406883818,1
4,2025-01-18 19:58:00,賃貸マンション,ベルクレール拾伍番館,千葉県船橋市本町２,ＪＲ総武線/船橋駅 歩7分,京成本線/京成船橋駅 歩6分,ＪＲ京葉線/南船橋駅 歩29分,築24年,8階建,6階,5.9万円,5000円,-,-,ワンルーム,19.42m2,https://suumo.jp/chintai/jnc_000063632056/?bc=100414145475,1
5,2025-01-18 19:58:00,賃貸マンション,ベルクレール拾伍番館,千葉県船橋市本町２,ＪＲ総武線/船橋駅 歩7分,京成本線/京成船橋駅 歩6分,ＪＲ京葉線/南船橋駅 歩29分,築24年,8階建,7階,6万円,5000円,-,-,ワンルーム,19.42m2,https://suumo.jp/chintai/jnc_000040864457/?bc=100417764642,1
6,2025-01-18 19:58:00,賃貸マンション,ロイヤルパークス船橋,千葉県船橋市行田１,東武野田線/塚田駅 歩3分,東武野田線/新船橋駅 歩10分,ＪＲ総武線/船橋駅 歩28分,築4年,11階建,5階,8.4万円,7000円,8.4万円,8.4万円,ワンルーム,31.5m2,https://suumo.jp/chintai/jnc_000094266184/?bc=100407120933,1
7,2025-01-18 19:58:00,賃貸マンション,カスタリア西船橋,千葉県船橋市西船４,ＪＲ総武線/西船橋駅 歩3分,東京メトロ東西線/西船橋駅 歩3分,京成本線/京成西船駅 歩6分,築24年,10階建,5階,6.7万円,5000円,6.7万円,-,ワンルーム,19.72m2,https://suumo.jp/chintai/jnc_000092223372/?bc=100392263251,1
8,2025-01-18 19:58:00,賃貸マンション,カスタリア西船橋,千葉県船橋市西船４,ＪＲ総武線/西船橋駅 歩3分,東京メトロ東西線/西船橋駅 歩3分,京成本線/京成西船駅 歩6分,築24年,10階建,7階,7.4万円,5000円,7.4万円,-,ワンルーム,19.72m2,https://suumo.jp/chintai/jnc_000095645287/?bc=100416732981,1
9,2025-01-18 19:58:00,賃貸マンション,カスタリア西船橋,千葉県船橋市西船４,ＪＲ総武線/西船橋駅 歩3分,東京メトロ東西線/西船橋駅 歩3分,京成本線/京成西船駅 歩6分,築24年,10階建,9階,7.4万円,5000円,7.4万円,-,ワンルーム,19.72m2,https://suumo.jp/chintai/jnc_000095250121/?bc=100416291066,1
10,2025-01-18 19:58:00,賃貸マンション,カスタリア西船橋,千葉県船橋市西船４,ＪＲ総武線/西船橋駅 歩3分,東京メトロ東西線/西船橋駅 歩3分,京成本線/京成西船駅 歩6分,築24年,10階建,10階,7.5万円,5000円,7.5万円,-,ワンルーム,19.72m2,https://suumo.jp/chintai/jnc_000095781926/?bc=100417605907,1
11,2025-01-18 19:58:00,賃貸マンション,カスタリア西船橋,千葉県船橋市西船４,ＪＲ総武線/西船橋駅 歩3分,東京メトロ東西線/西船橋駅 歩3分,京成本線/京成西船駅 歩6分,築24年,10階建,9階,7.2万円,11000円,-,7.2万円,ワンルーム,19.46m2,https://suumo.jp/chintai/jnc_000087348778/?bc=100415554893,1
12,2025-01-18 19:58:00,賃貸アパート,パレス・フジ,千葉県船橋市海神６,ＪＲ総武線/西船橋駅 歩16分,京成本線/海神駅 歩5分,東葉高速鉄道/東海神駅 歩15分,築24年,2階建,2階,6.2万円,2300円,-,-,ワンルーム,27m2,https://suumo.jp/chintai/jnc_000062171275/?bc=100417554784,1
13,2025-01-18 19:58:00,賃貸アパート,ＪＲ総武線 西船橋駅 2階建 築24年,千葉県船橋市海神６,ＪＲ総武線/西船橋駅 歩16分,京成本線/海神駅 歩5分,東葉高速鉄道/東海神駅 歩15分,築24年,2階建,2階,6.2万円,2300円,-,-,ワンルーム,27m2,https://suumo.jp/chintai/jnc_000062179113/?bc=100417615323,1
14,2025-01-18 19:58:00,賃貸アパート,フロンティアIＡ棟,千葉県船橋市習志野台２,新京成線/北習志野駅 歩10分,新京成線/高根木戸駅 歩15分,,築33年,2階建,1階,4.2万円,3000円,-,-,ワンルーム,23.18m2,https://suumo.jp/chintai/jnc_000062632291/?bc=100417740023,1
15,2025-01-18 19:58:00,賃貸マンション,エトワール宮本,千葉県船橋市宮本８,京成本線/船橋競馬場駅 歩2分,京成本線/大神宮下駅 歩11分,京成本線/谷津駅 歩13分,築32年,4階建,2階,4.7万円,3000円,-,-,ワンルーム,25.2m2,https://suumo.jp/chintai/jnc_000038843496/?bc=100417514521,1
16,2025-01-18 19:58:00,賃貸アパート,ブランノワール船橋,千葉県船橋市宮本１,京成本線/大神宮下駅 歩7分,ＪＲ総武線/船橋駅 歩9分,京成本線/京成船橋駅 歩8分,築5年,3階建,1階,6.9万円,-,-,-,ワンルーム,19.32m2,https://suumo.jp/chintai/jnc_000095781947/?bc=100414705424,1
17,2025-01-18 19:58:00,賃貸アパート,ブランノワール船橋,千葉県船橋市宮本１,京成本線/大神宮下駅 歩7分,ＪＲ総武線/船橋駅 歩9分,京成本線/京成船橋駅 歩8分,築5年,3階建,1階,6.5万円,5000円,-,-,ワンルーム,18.72m2,https://suumo.jp/chintai/jnc_000095702242/?bc=100417144369,1
18,2025-01-18 19:58:00,賃貸アパート,ブランノワール船橋,千葉県船橋市宮本１,京成本線/大神宮下駅 歩7分,ＪＲ総武線/船橋駅 歩9分,京成本線/京成船橋駅 歩8分,築5年,3階建,1階,6.4万円,7000円,-,-,ワンルーム,18.72m2,https://suumo.jp/chintai/jnc_000095019299/?bc=100343214501,1
